name,protein,fat,carbo,unit,gram,image_url,ancestry,kcal
明太子クリーム(クリーム明太子),8.66,11.03,10.39,1人前,125.0,https://cdn.slism.jp/calorie/foodImages/202013.jpg,1,179
鱒の煮付け(マス煮付け),18.17,5.29,10.08,1人前,130.0,https://cdn.slism.jp/calorie/foodImages/201983.jpg,1,174
さわら刺身(鰆の刺身／サワラ刺身／さわらお造り),18.09,8.73,0.09,1人前,90.0,https://cdn.slism.jp/calorie/foodImages/201988.jpg,1,159
アジの煮付け(鯵の煮付け/あじの煮付け/アジ煮つけ),14.90,2.40,10.07,1尾,118.0,https://cdn.slism.jp/calorie/foodImages/201531.jpg,1,133
さつまいも団子(サツマイモ団子/さつま芋団子),1.80,0.24,29.77,1人分,80.3,https://cdn.slism.jp/calorie/foodImages/201516.jpg,1,132
洋梨シャーベット(洋梨ソルベ/洋なしのシャーベット),0.16,0.05,33.41,カップ1個,120.0,https://cdn.slism.jp/calorie/foodImages/201627.jpg,1,128
オクラちくわ(ちくわオクラ),8.08,5.25,10.13,1人前,93.5,https://cdn.slism.jp/calorie/foodImages/201938.jpg,1,120
カフェラテ(かふぇらて/カフェラッテ),5.39,6.07,8.10,一杯,220.0,https://cdn.slism.jp/calorie/foodImages/202302.jpg,1,110
トマトのコンポート(トマトのシロップ漬け/コンポートトマト/とまとのコンポート),1.19,0.18,24.84,1個,224.2,https://cdn.slism.jp/calorie/foodImages/201634.jpg,1,108
ソイラテ(豆乳ラテ/そいらて),5.20,5.76,7.96,1杯,200.0,https://cdn.slism.jp/calorie/foodImages/202303.jpg,1,104
白玉だんご(白玉団子),0.63,0.10,8.00,1個,20.0,https://cdn.slism.jp/calorie/foodImages/202314.jpg,1,37
黒蜜(黒糖シロップ/くろみつ),0.15,0.00,8.07,大さじ1,18.0,https://cdn.slism.jp/calorie/foodImages/202304.jpg,1,32
野菜
紫キャベツ(レッドキャベツ/ムラサキキャベツ),20.40,1.02,68.34,M1個,1020.0,https://cdn.slism.jp/calorie/foodImages/106064.jpg,77,306
かぼちゃ(カボチャ/西洋かぼちゃ/南瓜),5.00,0.79,54.18,Mサイズ1/4カット,263.0,https://cdn.slism.jp/calorie/foodImages/106048.jpg,77,239
キャベツ(きゃべつ/寒玉),13.26,2.04,53.04,M1個,1020.0,https://cdn.slism.jp/calorie/foodImages/106061.jpg,77,235
グリーンボール(グリーンボールキャベツ/丸玉),14.00,1.00,43.00,1個,1000.0,https://cdn.slism.jp/calorie/foodImages/106063.jpg,77,200
枝豆(えだまめ),16.15,8.56,12.14,1袋(枝無し),138.0,https://cdn.slism.jp/calorie/foodImages/106015.jpg,77,186
そうめんかぼちゃ(素麺南瓜/キンシウリ/金糸瓜),4.73,0.68,41.18,M1個,675.0,https://cdn.slism.jp/calorie/foodImages/106051.jpg,77,162
ごぼう(牛蒡/ゴボウ),3.24,0.18,27.72,M1本,180.0,https://cdn.slism.jp/calorie/foodImages/106084.jpg,77,117
日本かぼちゃ(黒皮小玉/黒皮),3.60,0.23,24.53,1/4片,225.0,https://cdn.slism.jp/calorie/foodImages/106046.jpg,77,110
カリフラワー(ハナヤサイ),12.00,0.40,20.80,1個,400.0,https://cdn.slism.jp/calorie/foodImages/106054.jpg,77,108
コールラビ(カブカンラン/カブタマナ),5.00,0.00,25.50,1個,500.0,https://cdn.slism.jp/calorie/foodImages/106081.jpg,77,105
かんぴょう(干ぴょう/干瓢),2.13,0.06,20.37,1袋,30.0,https://cdn.slism.jp/calorie/foodImages/106056.jpg,77,78
からし菜(カラシナ/芥子菜/辛子菜),9.90,0.30,14.10,1束,300.0,https://cdn.slism.jp/calorie/foodImages/106052.jpg,77,78
春菊(しゅんぎく/シュンギク),4.55,0.59,7.72,1束(1袋),198.0,https://cdn.slism.jp/calorie/foodImages/106099.jpg,77,44
水菜(京菜/きょうな/みずな),3.74,0.17,8.16,1株,170.0,https://cdn.slism.jp/calorie/foodImages/106072.jpg,77,39
アーティチョーク(チョウセンアザミ/朝鮮薊),1.84,0.16,9.04,1個,80.0,https://cdn.slism.jp/calorie/foodImages/106001.jpg,77,38
十六ささげ(じゅうろくささげ/十六大角豆),4.00,0.16,7.68,1束,160.0,https://cdn.slism.jp/calorie/foodImages/106097.jpg,77,38
キンサイ(スープセルリー/スープセロリ/中国セロリ),2.20,0.80,7.00,1束,200.0,https://cdn.slism.jp/calorie/foodImages/106075.jpg,77,38
小松菜(こまつな/コマツナ),3.83,0.51,6.12,1束(1袋),255.0,https://cdn.slism.jp/calorie/foodImages/106086.jpg,77,36
さやいんげん(莢隠元),2.70,0.15,7.65,1パック,150.0,https://cdn.slism.jp/calorie/foodImages/106010.jpg,77,35
白瓜(しろうり/越瓜/菜瓜/青瓜),2.03,0.23,7.43,1本,225.0,https://cdn.slism.jp/calorie/foodImages/106106.jpg,77,34
豆苗(とうみょう/トウミョウ),4.80,0.50,4.30,1パック,100.0,https://cdn.slism.jp/calorie/foodImages/106019.jpg,77,31
エンダイブ(キクヂシャ),2.40,0.40,5.80,1パック,200.0,https://cdn.slism.jp/calorie/foodImages/106018.jpg,77,30
うど(ウド/白ウド),1.30,0.16,7.01,1本,163.0,https://cdn.slism.jp/calorie/foodImages/106012.jpg,77,29
ケール(緑葉甘藍),2.10,0.40,5.60,1束,100.0,https://cdn.slism.jp/calorie/foodImages/106080.jpg,77,28
オクラ(おくら/陸蓮根(おかれんこん)),1.79,0.17,5.61,1ネット(8～12本),85.0,https://cdn.slism.jp/calorie/foodImages/106032.jpg,77,26
ししとう(ししとうがらし/獅子唐辛子),1.71,0.27,5.13,1パック(30本),90.0,https://cdn.slism.jp/calorie/foodImages/106093.jpg,77,24
かぶ(カブ/蕪/カブラナ/カブラ/カブナ),0.84,0.12,5.52,中1個,120.0,https://cdn.slism.jp/calorie/foodImages/106036.jpg,77,24
山うど(山ウド),1.22,0.11,4.77,1本,111.0,https://cdn.slism.jp/calorie/foodImages/106014.jpg,77,21
くわい(慈姑/クワイ),1.01,0.02,4.26,中1個,16.0,https://cdn.slism.jp/calorie/foodImages/106078.jpg,77,20
おかひじき(オカヒジキ/ミルナ/岡鹿尾菜),1.40,0.20,3.40,1パック,100.0,https://cdn.slism.jp/calorie/foodImages/106030.jpg,77,17
行者にんにく(行者ニンニク),1.75,0.10,3.30,1束,50.0,https://cdn.slism.jp/calorie/foodImages/106071.jpg,77,17
山東菜(さんとうさい/さんとうな),1.00,0.20,2.70,1枚,100.0,https://cdn.slism.jp/calorie/foodImages/106089.jpg,77,14
きゅうり(キュウリ/胡瓜),0.98,0.10,2.94,M1本,98.0,https://cdn.slism.jp/calorie/foodImages/106065.jpg,77,14
スイートピクルス(ぴくるす/ピクルス),0.06,0.02,3.66,1個,20.0,https://cdn.slism.jp/calorie/foodImages/106069.jpg,77,13
ジュンサイ(蓴菜の水煮/じゅんさいの水煮),0.80,0.00,2.00,1パック,200.0,https://cdn.slism.jp/calorie/foodImages/106101.jpg,77,10
しょうが(生姜/ショウガ),0.22,0.07,1.58,親指大,24.0,https://cdn.slism.jp/calorie/foodImages/106103.jpg,77,7
大阪白菜(おおさかしろな/天満菜),0.70,0.10,1.10,1枚,50.0,https://cdn.slism.jp/calorie/foodImages/106027.jpg,77,7
クレソン(オランダガラシ/ミズガラシ),0.90,0.04,1.08,1束,43.0,https://cdn.slism.jp/calorie/foodImages/106077.jpg,77,6
アスパラガス(アスパラ),0.62,0.05,0.94,1本(太),24.0,https://cdn.slism.jp/calorie/foodImages/106007.jpg,77,5
明日葉(あしたば/アシタバ),0.50,0.02,1.01,1本,15.0,https://cdn.slism.jp/calorie/foodImages/106005.jpg,77,5
カブの葉(カブの葉/蕪の葉),0.46,0.02,0.78,1本,20.0,https://cdn.slism.jp/calorie/foodImages/106034.jpg,77,4
グリンピース(グリーンピース),0.28,0.02,0.61,1さや,4.0,https://cdn.slism.jp/calorie/foodImages/106023.jpg,77,4
シソ(大葉/しそ/紫蘇/青じそ),0.39,0.01,0.75,1束(10枚),10.0,https://cdn.slism.jp/calorie/foodImages/106095.jpg,77,4
スナップえんどう(スナップエンドウ),0.15,0.01,0.50,1さや,5.0,https://cdn.slism.jp/calorie/foodImages/106022.jpg,77,2
四角豆(しかくまめ/うずりん),0.24,0.01,0.38,1さや,10.0,https://cdn.slism.jp/calorie/foodImages/106092.jpg,77,2
葉しょうが(谷中生姜),0.09,0.04,0.38,1茎,18.0,https://cdn.slism.jp/calorie/foodImages/106102.jpg,77,2
あさつき(アサツキ/浅葱),0.21,0.02,0.28,1本,5.0,https://cdn.slism.jp/calorie/foodImages/106003.jpg,77,2
こごみ(コゴミ/クサソテツ/カンソウ),0.15,0.01,0.27,1本,5.0,https://cdn.slism.jp/calorie/foodImages/106083.jpg,77,1
菊(菊の花/キク/食用菊),0.07,0.00,0.33,1個,5.0,https://cdn.slism.jp/calorie/foodImages/106058.jpg,77,1
しその実(紫蘇の実/シソの実),0.07,0.00,0.18,1本,2.0,https://cdn.slism.jp/calorie/foodImages/106096.jpg,77,1
冬瓜(とうがん),12.25,2.45,93.10,グリーン1個,2450.0,https://cdn.slism.jp/calorie/foodImages/106173.jpg,77,392
干しぜんまい(干しゼンマイ),14.60,0.60,70.80,1パック,100.0,https://cdn.slism.jp/calorie/foodImages/106122.jpg,77,293
大根(だいこん/ダイコン),3.60,0.90,36.90,M1本,900.0,https://cdn.slism.jp/calorie/foodImages/106134.jpg,77,162
とうもろこし(スイートコーン/とうもろこし),5.40,2.55,25.20,1本（粒のみ）,150.0,https://cdn.slism.jp/calorie/foodImages/106175.jpg,77,138
セロリ(セロリー),9.10,0.91,29.12,1株(茎8本)M,910.0,https://cdn.slism.jp/calorie/foodImages/106119.jpg,77,137
竹の子(たけのこ),14.40,0.80,17.20,M1個,400.0,https://cdn.slism.jp/calorie/foodImages/106149.jpg,77,104
米茄子(べいなす),3.85,0.35,18.55,1個,350.0,https://cdn.slism.jp/calorie/foodImages/106193.jpg,77,77
すぐき(すぐき菜/すぐきの根),2.10,0.35,16.45,1個,350.0,https://cdn.slism.jp/calorie/foodImages/106114.jpg,77,74
